epoch,d_loss,SSIM+L1,g_loss
0,0.24590859413146973,0.22019805312156676,0.25412516593933104
1,9.636633621994406e-05,0.1771882176399231,0.9902313470840454
2,0.4670587182044983,0.2869221389293671,0.48102250695228577
3,2.9027234832668115e-06,0.20150098204612732,0.9980721473693848
4,0.9475371837615967,0.3181267619132996,0.050030797719955444
5,0.0009221490967320278,0.15650954246520996,0.9773610830307007
6,0.09032255942001939,0.17408587038516998,0.8518567562103272
7,0.4108868420124054,0.24656616449356078,0.45548549890518186
8,0.0006455276045016945,0.14753939509391784,0.9753019571304321
9,0.1735679730772972,0.333355587720871,0.6658157110214233
10,0.8640198707580566,0.3536731481552124,0.07092689201235772
11,0.011758054540723605,0.2179463118314743,0.9475080490112304
12,0.0003225894120987505,0.16786424815654755,0.97909574508667
13,0.0027970644245215227,0.27813507318496705,0.9600722193717957
14,0.11933354445516216,0.23909993469715118,0.8544540762901306
15,0.23520317077636718,0.1722121298313141,0.5387679815292359
16,0.20001067707213682,0.15024570226669312,0.7980368852615356
17,0.17778804451227187,0.13452813327312468,0.5598021268844604
18,0.05525568614802978,0.12579722702503204,0.9212436079978943
19,2.485407557295538e-06,0.1130402773618698,0.9991013884544373
20,0.13405294866261103,0.11969366073608398,0.848145866394043
